name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms)
警察署前,33.844596,132.775354,heat,1267.144,20.34636,20時間20分47秒
勝山町,33.841709,132.774818,heat,1267.439,20.34675,20時間20分48秒
大街道,33.841103,132.769861,cool,1267.748,20.34715,20時間20分50秒
県庁前(愛媛),33.841067,132.766364,cool,1267.929,20.34739,20時間20分51秒
市役所前(愛媛),33.839926,132.764819,cool,1268.114,20.34763,20時間20分51秒
南町,33.847412,132.779839,eco,1266.655,20.34572,20時間20分45秒
道後公園,33.848552,132.784989,eco,1266.287,20.34523,20時間20分43秒
道後温泉,33.850477,132.784817,cool,1266.117,20.34501,20時間20分42秒
本町５丁目,33.851047,132.758853,cool,1267.387,20.34668,20時間20分48秒
本町４丁目,33.847982,132.758789,cool,1267.674,20.34706,20時間20分49秒
本町３丁目,33.84513,132.758853,cool,1267.935,20.34740,20時間20分51秒
荷稲,33.132961,133.116316,heat,1317.456,20.40540,20時間24分19秒
伊与喜,33.105169,133.098519,heat,1320.959,20.40899,20時間24分32秒
土佐佐賀,33.080905,133.101517,heat,1323.140,20.41119,20時間24分40秒
佐賀公園,33.064604,133.106582,heat,1324.461,20.41251,20時間24分45秒
土佐白浜,33.05643,133.097452,heat,1325.676,20.41371,20時間24分49秒
有井川,33.038914,133.071258,cool,1328.594,20.41657,20時間25分0秒
土佐上川口,33.043013,133.056112,cool,1328.920,20.41688,20時間25分1秒
海の王迎,33.040407,133.046482,cool,1329.626,20.41757,20時間25分3秒
浮鞭,33.039516,133.029856,cool,1330.501,20.41841,20時間25分6秒
土佐入野,33.023866,133.011636,cool,1332.864,20.42066,20時間25分14秒
西大方,33.008912,132.986967,eco,1335.468,20.42311,20時間25分23秒
古津賀,32.985744,132.962036,eco,1338.870,20.42625,20時間25分34秒
中村,32.984641,132.943927,eco,1339.839,20.42713,20時間25分38秒
具同,32.9794,132.915473,eco,1341.699,20.42881,20時間25分44秒
国見(高知),32.978932,132.883716,cool,1343.264,20.43021,20時間25分49秒
有岡,32.961229,132.833077,cool,1347.383,20.43382,20時間26分2秒
工業団地,32.95632,132.801931,heat,1349.351,20.43551,20時間26分8秒
平田(高知),32.955639,132.794977,heat,1349.751,20.43585,20時間26分9秒
東宿毛,32.933673,132.728736,heat,1355.041,20.44028,20時間26分25秒
宿毛,32.932534,132.71364,heat,1355.881,20.44097,20時間26分27秒
後免町,33.574397,133.650628,heat,1250.008,20.32305,20時間19分23秒
立田,33.57073,133.670627,heat,1249.432,20.32224,20時間19分20秒
のいち,33.561649,133.698366,heat,1249.020,20.32166,20時間19分18秒
よしかわ,33.546089,133.710352,heat,1249.966,20.32299,20時間19分23秒
あかおか,33.539893,133.721859,heat,1250.032,20.32308,20時間19分23秒
香我美,33.539152,133.73723,heat,1249.396,20.32219,20時間19分20秒
夜須,33.534347,133.754506,heat,1249.065,20.32172,20時間19分18秒
西分,33.518015,133.790772,heat,1248.981,20.32160,20時間19分18秒
和食,33.51784,133.809739,heat,1248.131,20.32040,20時間19分13秒
赤野,33.516,133.825026,heat,1247.611,20.31966,20時間19分11秒
穴内,33.506069,133.864204,cool,1246.792,20.31849,20時間19分7秒
球場前(高知),33.502635,133.891265,cool,1245.898,20.31722,20時間19分2秒
あき総合病院前,33.504354,133.897625,cool,1245.444,20.31657,20時間19分0秒
安芸,33.504738,133.906538,cool,1245.003,20.31593,20時間18分57秒
伊尾木,33.490952,133.929158,cool,1245.322,20.31639,20時間18分59秒
下山(高知),33.458267,133.94837,cool,1247.637,20.31970,20時間19分11秒
唐浜,33.446036,133.966263,eco,1248.026,20.32025,20時間19分13秒
安田(高知),33.443359,133.984151,eco,1247.487,20.31948,20時間19分10秒
田野(高知),33.4303,134.008207,eco,1247.687,20.31977,20時間19分11秒
奈半利,33.425187,134.018269,eco,1247.739,20.31984,20時間19分11秒
後免東町,33.574501,133.64769,eco,1250.135,20.32323,20時間19分24秒
後免中町,33.575438,133.645927,eco,1250.127,20.32322,20時間19分24秒
後免西町,33.575819,133.642753,eco,1250.238,20.32337,20時間19分24秒
東工業前,33.57637,133.638092,eco,1250.402,20.32360,20時間19分25秒
住吉通,33.576615,133.636156,eco,1250.469,20.32370,20時間19分25秒
篠原(高知),33.577049,133.631263,eco,1250.655,20.32396,20時間19分26秒
小篭通,33.576285,133.62586,eco,1250.980,20.32441,20時間19分28秒
長崎(高知),33.575074,133.620888,eco,1251.328,20.32490,20時間19分30秒
明見橋,33.57469,133.618261,eco,1251.488,20.32513,20時間19分30秒
清和学園前,33.574911,133.613032,eco,1251.711,20.32544,20時間19分32秒
領石通,33.574162,133.607845,eco,1252.025,20.32588,20時間19分33秒
北浦(高知),33.573716,133.603952,eco,1252.249,20.32619,20時間19分34秒
舟戸,33.570496,133.59954,eco,1252.765,20.32691,20時間19分37秒
鹿児,33.567135,133.597346,eco,1253.190,20.32750,20時間19分39秒
田辺島通,33.566359,133.593,heat,1253.468,20.32789,20時間19分40秒
東新木,33.564517,133.59028,heat,1253.772,20.32831,20時間19分42秒
新木(高知),33.562191,133.586764,heat,1254.159,20.32884,20時間19分44秒
介良通,33.560055,133.583241,heat,1254.529,20.32936,20時間19分46秒
文珠通,33.559336,133.579335,heat,1254.781,20.32970,20時間19分47秒
高須(高知),33.559307,133.577034,heat,1254.891,20.32986,20時間19分47秒
県立美術館通,33.558863,133.575148,heat,1255.022,20.33004,20時間19分48秒
西高須,33.558229,133.573163,heat,1255.176,20.33025,20時間19分49秒
葛島橋東詰,33.557,133.569303,cool,1255.474,20.33066,20時間19分50秒
知寄町三丁目,33.557541,133.565589,cool,1255.596,20.33083,20時間19分51秒
知寄町,33.557911,133.561486,cool,1255.753,20.33105,20時間19分52秒
知寄町二丁目,33.558022,133.559945,cool,1255.815,20.33113,20時間19分52秒
知寄町一丁目,33.558377,133.557099,cool,1255.914,20.33127,20時間19分53秒
宝永町,33.558662,133.553486,cool,1256.056,20.33146,20時間19分53秒
菜園場町,33.559076,133.548241,cool,1256.262,20.33175,20時間19分54秒
デンテツターミナルビル前,33.559329,133.544073,cool,1256.433,20.33198,20時間19分55秒
はりまや橋,33.559558,133.542292,cool,1256.495,20.33206,20時間19分55秒
堀詰,33.559554,133.539231,cool,1256.639,20.33226,20時間19分56秒
大橋通,33.558992,133.536404,cool,1256.826,20.33252,20時間19分57秒
高知城前,33.558405,133.533934,cool,1256.998,20.33275,20時間19分58秒
県庁前(高知),33.557997,133.531771,cool,1257.139,20.33295,20時間19分59秒
グランド通,33.557497,133.528992,cool,1257.317,20.33319,20時間19分59秒
枡形,33.557357,133.527617,cool,1257.395,20.33330,20時間20分0秒
上町一丁目,33.557324,133.525417,cool,1257.502,20.33344,20時間20分0秒
上町二丁目,33.557301,133.522621,cool,1257.635,20.33363,20時間20分1秒
上町四丁目,33.557272,133.519428,cool,1257.788,20.33383,20時間20分2秒
上町五丁目,33.557195,133.517297,cool,1257.896,20.33398,20時間20分2秒
旭町一丁目,33.556635,133.51323,cool,1258.141,20.33432,20時間20分4秒
旭駅前通,33.555987,133.509636,cool,1258.372,20.33463,20時間20分5秒
旭町三丁目,33.555685,133.506719,cool,1258.538,20.33486,20時間20分5秒
蛍橋,33.55533,133.503102,cool,1258.743,20.33513,20時間20分6秒
鏡川橋,33.555892,133.499437,cool,1258.861,20.33530,20時間20分7秒
鴨部,33.552228,133.496854,cool,1259.334,20.33594,20時間20分9秒
曙町東町,33.551517,133.49336,heat,1259.567,20.33625,20時間20分11秒
曙町,33.551159,133.490946,heat,1259.715,20.33645,20時間20分11秒
朝倉(とさでん交通),33.550665,133.488304,heat,1259.886,20.33669,20時間20分12秒
朝倉神社前,33.551992,133.481023,heat,1260.103,20.33698,20時間20分13秒
宮の奥,33.552304,133.476165,heat,1260.302,20.33725,20時間20分14秒
咥内,33.552393,133.470454,heat,1260.563,20.33760,20時間20分15秒
宇治団地前,33.551928,133.461227,heat,1261.044,20.33825,20時間20分18秒
八代通,33.551952,133.455411,heat,1261.316,20.33862,20時間20分19秒
中山(高知),33.551763,133.45287,heat,1261.454,20.33880,20時間20分20秒
伊野商業前,33.550287,133.444364,eco,1261.998,20.33953,20時間20分22秒
北内,33.5498,133.442221,eco,1262.146,20.33973,20時間20分23秒
北山(高知),33.549096,133.438476,eco,1262.390,20.34006,20時間20分24秒
鳴谷,33.548657,133.433361,eco,1262.675,20.34044,20時間20分26秒
伊野(とさでん交通),33.548428,133.42844,eco,1262.930,20.34078,20時間20分27秒
高知橋,33.564016,133.543404,cool,1256.015,20.33141,20時間19分53秒
蓮池町通,33.562117,133.543173,cool,1256.208,20.33167,20時間19分54秒
梅の辻,33.553844,133.54382,cool,1256.971,20.33272,20時間19分58秒
桟橋通一丁目,33.550108,133.54624,cool,1257.216,20.33305,20時間19分59秒
桟橋通二丁目,33.549078,133.546944,heat,1257.282,20.33314,20時間19分59秒
桟橋通三丁目,33.54653,133.548686,heat,1257.445,20.33336,20時間20分0秒
桟橋通四丁目,33.544908,133.549847,heat,1257.546,20.33350,20時間20分1秒
桟橋車庫前,33.541816,133.551926,eco,1257.745,20.33378,20時間20分2秒
桟橋通五丁目,33.540464,133.552739,eco,1257.837,20.33390,20時間20分2秒
立野(佐賀),33.412412,130.539573,eco,1427.342,20.48498,20時間29分6秒
大板井,33.398452,130.560727,eco,1427.355,20.48498,20時間29分6秒
松崎(福岡),33.399654,130.582047,eco,1426.032,20.48443,20時間29分4秒
今隈,33.404237,130.594426,heat,1424.923,20.48396,20時間29分2秒
西太刀洗,33.40774,130.599153,heat,1424.346,20.48371,20時間29分1秒
山隈,33.414076,130.609964,cool,1423.174,20.48320,20時間29分0秒
太刀洗,33.413868,130.618768,cool,1422.690,20.48299,20時間28分59秒
高田(福岡),33.414218,130.63402,cool,1421.790,20.48259,20時間28分57秒
南直方御殿口,33.738729,130.724903,eco,1388.227,20.46447,20時間27分52秒
あかぢ,33.727366,130.72455,eco,1389.236,20.46511,20時間27分54秒
藤棚,33.722017,130.735291,eco,1389.083,20.46501,20時間27分54秒
中泉,33.720992,130.742871,eco,1388.737,20.46479,20時間27分53秒
市場(福岡),33.708074,130.759328,eco,1388.916,20.46491,20時間27分54秒
ふれあい生力,33.700112,130.765567,eco,1389.252,20.46512,20時間27分54秒
赤池(福岡),33.69206,130.768675,eco,1389.776,20.46545,20時間27分56秒
人見,33.687316,130.771105,heat,1390.051,20.46562,20時間27分56秒
金田,33.682805,130.776491,heat,1390.136,20.46567,20時間27分56秒
上金田,33.672435,130.789172,heat,1390.316,20.46578,20時間27分57秒
糒,33.664744,130.799177,heat,1390.416,20.46584,20時間27分57秒
田川市立病院,33.660436,130.802697,cool,1390.591,20.46595,20時間27分57秒
下伊田,33.651965,130.807016,cool,1391.085,20.46626,20時間27分59秒
豊前大熊,33.672646,130.780387,cool,1390.800,20.46608,20時間27分58秒
松山(福岡),33.668496,130.780537,cool,1391.154,20.46630,20時間27分59秒
糸田,33.656481,130.785773,eco,1391.905,20.46677,20時間28分0秒
大藪,33.64712,130.797642,eco,1392.045,20.46685,20時間28分1秒
上伊田,33.648079,130.83017,eco,1390.104,20.46565,20時間27分56秒
勾金,33.651568,130.841939,eco,1389.127,20.46504,20時間27分54秒
柿下温泉口,33.651593,130.854116,eco,1388.431,20.46460,20時間27分53秒
内田,33.637367,130.864302,eco,1389.098,20.46502,20時間27分54秒
赤,33.617703,130.871827,eco,1390.396,20.46583,20時間27分57秒
油須原,33.612765,130.884384,eco,1390.116,20.46566,20時間27分56秒
源じいの森,33.616179,130.895972,eco,1389.158,20.46506,20時間27分54秒
崎山,33.636285,130.917903,heat,1386.147,20.46314,20時間27分47秒
犀川,33.650689,130.939337,heat,1383.666,20.46151,20時間27分41秒
東犀川三四郎,33.661385,130.948966,heat,1382.180,20.46052,20時間27分38秒
新豊津,33.679717,130.963987,heat,1379.717,20.45886,20時間27分32秒
豊津(福岡),33.687505,130.962984,heat,1379.090,20.45843,20時間27分30秒
今川河童,33.702983,130.965517,cool,1377.587,20.45739,20時間27分27秒
美夜古泉,33.709108,130.969052,cool,1376.849,20.45688,20時間27分25秒
令和コスタ行橋,33.717097,130.973615,cool,1375.888,20.45620,20時間27分22秒
福岡空港,33.59718,130.448501,eco,1416.500,20.48016,20時間28分49秒
東比恵,33.589958,130.43128,eco,1418.125,20.48092,20時間28分51秒
祇園(福岡),33.594124,130.414614,eco,1418.732,20.48121,20時間28分52秒
中洲川端,33.594749,130.406418,eco,1419.155,20.48140,20時間28分53秒
天神,33.591346,130.39906,eco,1419.877,20.48173,20時間28分54秒
赤坂(福岡),33.589124,130.391005,eco,1420.538,20.48203,20時間28分55秒
大濠公園,33.589957,130.378784,heat,1421.177,20.48232,20時間28分56秒
唐人町,33.590235,130.370451,heat,1421.638,20.48253,20時間28分57秒
西新,33.583846,130.359619,heat,1422.822,20.48305,20時間28分59秒
藤崎(福岡),33.581347,130.348231,cool,1423.701,20.48343,20時間29分0秒
室見,33.581069,130.340176,cool,1424.195,20.48365,20時間29分1秒
呉服町(福岡),33.59829,130.409892,eco,1418.646,20.48117,20時間28分52秒
千代県庁口,33.602456,130.414336,eco,1418.027,20.48088,20時間28分51秒
馬出九大病院前,33.6094,130.419336,heat,1417.136,20.48046,20時間28分50秒
箱崎宮前,33.615788,130.419613,heat,1416.567,20.48019,20時間28分49秒
箱崎九大前,33.622177,130.421002,cool,1415.933,20.47989,20時間28分48秒
橋本(福岡),33.555205,130.321064,eco,1427.544,20.48506,20時間29分6秒
次郎丸,33.552497,130.329538,eco,1427.285,20.48495,20時間29分6秒
賀茂,33.55048,130.337879,eco,1426.973,20.48482,20時間29分5秒
野芥,33.548111,130.347007,eco,1426.647,20.48469,20時間29分5秒
梅林(福岡),33.545806,130.35494,eco,1426.385,20.48458,20時間29分4秒
福大前,33.54747,130.362228,eco,1425.817,20.48434,20時間29分4秒
七隈,33.552819,130.361628,eco,1425.389,20.48416,20時間29分3秒
