name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms)
函館,41.773709,140.726413,eco,152.834,13.72877,13時間43分44秒
函館駅前,41.77264,140.727997,heat,152.903,13.72925,13時間43分45秒
五稜郭,41.803557,140.733539,eco,149.508,13.70575,13時間42分21秒
桔梗,41.846457,140.722952,heat,145.329,13.67683,13時間40分37秒
大中山,41.864641,140.71358,heat,143.715,13.66566,13時間39分56秒
七飯,41.886971,140.688556,heat,142.172,13.65498,13時間39分18秒
新函館北斗,41.9054,140.646525,eco,141.647,13.65134,13時間39分5秒
仁山,41.930011,140.635183,heat,139.537,13.63674,13時間38分12秒
大沼,41.971954,140.669347,heat,134.121,13.59925,13時間35分57秒
大沼公園,41.980958,140.669758,cool,133.196,13.59284,13時間35分34秒
赤井川,42.003267,140.642678,cool,131.904,13.58390,13時間35分2秒
駒ヶ岳,42.038809,140.610476,cool,129.572,13.56776,13時間34分4秒
東山(北海道),42.06172,140.605222,unknown,127.526,13.55359,13時間33分13秒
姫川(北海道),42.081312,140.591632,unknown,126.158,13.54412,13時間32分39秒
池田園,41.990692,140.700333,unknown,131.174,13.57885,13時間34分44秒
流山温泉,42.003483,140.716358,unknown,129.340,13.56615,13時間33分58秒
銚子口,42.015471,140.720656,unknown,127.976,13.55671,13時間33分24秒
鹿部,42.06439,140.771393,cool,121.326,13.51067,13時間30分38秒
渡島沼尻,42.10706,140.747596,cool,117.771,13.48607,13時間29分10秒
渡島砂原,42.12164,140.689451,cool,118.397,13.49040,13時間29分25秒
掛澗,42.119205,140.64598,eco,120.304,13.50360,13時間30分13秒
尾白内,42.111232,140.613449,eco,122.376,13.51794,13時間31分5秒
東森,42.106823,140.59353,eco,123.613,13.52651,13時間31分35秒
森(北海道),42.108917,140.573846,eco,124.228,13.53076,13時間31分51秒
桂川(北海道),42.1156,140.542788,unknown,124.916,13.53553,13時間32分8秒
石谷,42.135519,140.506525,unknown,124.657,13.53373,13時間32分1秒
本石倉,42.159668,140.471957,unknown,124.042,13.52947,13時間31分46秒
石倉,42.17285,140.458436,eco,123.497,13.52570,13時間31分33秒
落部,42.187617,140.420755,eco,124.038,13.52945,13時間31分46秒
野田生,42.217104,140.37586,eco,123.787,13.52771,13時間31分40秒
山越,42.231172,140.326593,eco,125.246,13.53781,13時間32分16秒
八雲,42.253391,140.273342,eco,126.406,13.54584,13時間32分45秒
鷲ノ巣,42.278389,140.269919,unknown,124.613,13.53343,13時間32分0秒
山崎(北海道),42.314635,140.2746,eco,121.509,13.51194,13時間30分43秒
黒岩,42.368296,140.288173,eco,116.616,13.47807,13時間28分41秒
北豊津,42.400969,140.297868,unknown,113.604,13.45723,13時間27分26秒
国縫,42.439319,140.320885,eco,109.393,13.42808,13時間25分41秒
中ノ沢,42.477928,140.346077,unknown,105.065,13.39814,13時間23分53秒
長万部,42.512477,140.37507,eco,100.810,13.36870,13時間22分7秒
二股,42.575869,140.320821,eco,100.288,13.36509,13時間21分54秒
蕨岱,42.626353,140.313353,unknown,97.832,13.34810,13時間20分53秒
黒松内,42.669608,140.305704,eco,96.031,13.33564,13時間20分8秒
熱郛,42.675653,140.375084,eco,90.725,13.29895,13時間17分56秒
目名,42.761432,140.465742,eco,79.756,13.22315,13時間13分23秒
蘭越,42.804542,140.52894,heat,73.062,13.17692,13時間10分37秒
昆布,42.797984,140.596107,heat,68.411,13.14481,13時間8分41秒
ニセコ,42.808746,140.684588,heat,61.447,13.09677,13時間5分48秒
比羅夫,42.84856,140.722615,heat,56.672,13.06386,13時間3分50秒
倶知安,42.90164,140.745471,heat,52.620,13.03594,13時間2分9秒
小沢,42.97185,140.677657,heat,55.769,13.05763,13時間3分27秒
銀山,43.040888,140.715321,cool,51.722,13.02975,13時間1分47秒
然別,43.12551,140.737211,cool,50.217,13.01939,13時間1分10秒
仁木,43.154091,140.770546,cool,48.049,13.00446,13時間0分16秒
余市,43.186558,140.794686,cool,46.995,12.99721,12時間59分50秒
蘭島,43.19651,140.854643,cool,42.697,12.96763,12時間58分3秒
塩谷,43.202406,140.924546,cool,37.649,12.93292,12時間55分59秒
小樽,43.197172,140.993653,cool,32.313,12.89626,12時間53分47秒
南小樽,43.186529,141.007883,cool,30.761,12.88560,12時間53分8秒
小樽築港,43.180752,141.029051,cool,28.934,12.87306,12時間52分23秒
朝里,43.176868,141.063923,cool,26.208,12.85435,12時間51分16秒
