name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms)
銭函,43.143403,141.159868,cool,17.588,12.79526,12時間47分43秒
ほしみ,43.13373,141.191402,cool,14.827,12.77635,12時間46分35秒
星置,43.132375,141.210856,cool,13.391,12.76652,12時間45分59秒
稲穂,43.128115,141.222919,cool,12.310,12.75913,12時間45分33秒
手稲,43.120238,141.243785,eco,10.412,12.74614,12時間44分46秒
稲積公園,43.112023,141.257113,eco,9.008,12.73654,12時間44分12秒
発寒,43.099819,141.277273,eco,6.904,12.72216,12時間43分20秒
発寒中央,43.089271,141.294497,eco,5.115,12.70993,12時間42分36秒
琴似(JR),43.081599,141.307418,eco,3.806,12.70099,12時間42分4秒
桑園,43.070744,141.332036,eco,1.540,12.68551,12時間41分8秒
札幌,43.068612,141.350768,eco,0.000,12.67500,12時間40分30秒
さっぽろ,43.06637,141.350299,heat,0.252,12.67672,12時間40分36秒
苗穂,43.06826,141.373471,eco,1.845,12.68759,12時間41分15秒
白石(JR),43.054715,141.413612,eco,5.334,12.71143,12時間42分41秒
厚別,43.045154,141.46369,eco,9.538,12.74016,12時間44分25秒
森林公園(北海道),43.056456,141.481332,eco,10.693,12.74806,12時間44分53秒
大麻,43.072382,141.496925,eco,11.880,12.75618,12時間45分22秒
野幌,43.092559,141.52984,eco,14.785,12.77607,12時間46分34秒
高砂(北海道),43.100084,141.540752,eco,15.821,12.78316,12時間46分59秒
江別,43.110189,141.55679,eco,17.357,12.79368,12時間47分37秒
豊幌,43.136446,141.62466,eco,23.481,12.83565,12時間50分8秒
幌向,43.151348,141.655839,eco,26.418,12.85579,12時間51分21秒
上幌向,43.18183,141.715391,eco,32.158,12.89520,12時間53分43秒
岩見沢,43.204201,141.759359,eco,36.421,12.92448,12時間55分28秒
峰延,43.264694,141.814673,eco,43.485,12.97305,12時間58分23秒
光珠内,43.292658,141.844655,eco,47.163,12.99836,12時間59分54秒
美唄,43.330751,141.862157,eco,50.674,13.02254,13時間1分21秒
茶志内,43.369842,141.87336,eco,53.992,13.04539,13時間2分43秒
奈井江,43.423718,141.889115,eco,58.825,13.07870,13時間4分43秒
豊沼,43.464224,141.901032,eco,62.611,13.10480,13時間6分17秒
砂川,43.493468,141.909642,eco,65.410,13.12411,13時間7分27秒
滝川,43.555278,141.900807,eco,70.063,13.15622,13時間9分22秒
江部乙,43.627564,141.935937,heat,78.114,13.21180,13時間12分42秒
妹背牛,43.690841,141.966591,heat,85.229,13.26096,13時間15分39秒
深川,43.721021,142.041642,heat,91.535,13.30455,13時間18分16秒
納内,43.732509,142.130072,heat,97.023,13.34250,13時間20分33秒
神居古潭,43.732833,142.202222,unknown,100.929,13.36952,13時間22分10秒
伊納,43.763305,142.27167,unknown,107.235,13.41315,13時間24分47秒
近文,43.789193,142.325327,heat,112.308,13.44826,13時間26分54秒
旭川,43.763492,142.357803,heat,112.186,13.44741,13時間26分51秒
静狩,42.584065,140.460025,eco,90.442,13.29700,13時間17分49秒
小幌,42.589731,140.537361,eco,85.061,13.25980,13時間15分35秒
礼文,42.580422,140.595013,eco,82.132,13.23956,13時間14分22秒
大岸,42.585969,140.639036,eco,79.051,13.21828,13時間13分6秒
豊浦,42.580323,140.71536,eco,75.055,13.19068,13時間11分26秒
洞爺,42.55055,140.763959,eco,74.898,13.18959,13時間11分23秒
有珠,42.513267,140.793969,eco,76.665,13.20180,13時間12分6秒
長和,42.488262,140.833783,eco,77.102,13.20481,13時間12分17秒
伊達紋別,42.469395,140.855802,eco,77.922,13.21048,13時間12分38秒
北舟岡,42.450528,140.880259,eco,78.734,13.21609,13時間12分58秒
稀府,42.425567,140.898836,eco,80.464,13.22804,13時間13分41秒
黄金(北海道),42.386441,140.907781,eco,84.042,13.25276,13時間15分10秒
崎守,42.373968,140.927141,eco,84.639,13.25688,13時間15分25秒
本輪西,42.358734,140.977561,eco,84.619,13.25675,13時間15分24秒
室蘭,42.317864,140.97571,cool,88.929,13.28654,13時間17分12秒
母恋,42.317295,140.990018,cool,88.592,13.28421,13時間17分3秒
御崎,42.329014,140.993881,cool,87.258,13.27499,13時間16分30秒
輪西,42.333775,141.005743,cool,86.437,13.26931,13時間16分10秒
東室蘭,42.349374,141.026411,cool,84.252,13.25421,13時間15分15秒
鷲別,42.35953,141.042759,cool,82.764,13.24393,13時間14分38秒
幌別,42.409782,141.107293,cool,75.909,13.19658,13時間11分48秒
富浦(北海道),42.441957,141.156878,cool,71.456,13.16583,13時間9分57秒
登別,42.45207,141.180931,cool,69.944,13.15539,13時間9分19秒
虎杖浜,42.464695,141.215092,heat,68.060,13.14239,13時間8分33秒
竹浦,42.49284,141.260395,heat,64.446,13.11746,13時間7分3秒
北吉原,42.509119,141.286199,heat,62.435,13.10359,13時間6分13秒
萩野,42.521159,141.30603,heat,60.983,13.09358,13時間5分37秒
白老,42.55474,141.360054,heat,57.145,13.06712,13時間4分2秒
社台,42.578682,141.417433,heat,54.748,13.05060,13時間3分2秒
錦岡,42.6025,141.48722,heat,53.010,13.03863,13時間2分19秒
糸井,42.6225,141.546187,heat,52.101,13.03236,13時間1分57秒
青葉,42.62999,141.568278,heat,51.896,13.03095,13時間1分51秒
苫小牧,42.639665,141.596837,eco,51.743,13.02990,13時間1分48秒
沼ノ端,42.672057,141.693132,eco,52.180,13.03291,13時間1分58秒
遠浅,42.729533,141.769568,heat,50.846,13.02372,13時間1分25秒
早来,42.765237,141.814106,heat,50.612,13.02211,13時間1分20秒
安平,42.814007,141.825283,cool,47.890,13.00337,13時間0分12秒
追分(北海道),42.873316,141.810678,cool,43.264,12.97153,12時間58分18秒
三川(北海道),42.945029,141.800778,cool,39.087,12.94281,12時間56分34秒
古山,42.975256,141.793969,eco,37.495,12.93186,12時間55分55秒
由仁,43.012206,141.785868,eco,35.912,12.92098,12時間55分16秒
栗山,43.058164,141.775603,eco,34.533,12.91151,12時間54分41秒
栗丘,43.085444,141.744333,eco,32.020,12.89425,12時間53分39秒
栗沢,43.120367,141.739743,eco,32.104,12.89482,12時間53分41秒
志文,43.158903,141.744443,eco,33.495,12.90438,12時間54分16秒
東滝川,43.574037,141.98031,unknown,75.842,13.19611,13時間11分46秒
赤平,43.555144,142.048669,eco,78.199,13.21239,13時間12分45秒
茂尻,43.537314,142.082156,eco,78.860,13.21696,13時間13分1秒
平岸(JR),43.541401,142.123872,eco,81.714,13.23667,13時間14分12秒
芦別,43.516636,142.184543,eco,83.877,13.25162,13時間15分6秒
上芦別,43.48871,142.210855,eco,83.844,13.25139,13時間15分5秒
野花南,43.474418,142.261772,eco,86.465,13.26950,13時間16分10秒
島ノ下,43.3744,142.350406,unknown,87.846,13.27905,13時間16分45秒
富良野,43.347114,142.391374,cool,89.843,13.29286,13時間17分34秒
布部,43.291991,142.400595,unknown,88.673,13.28477,13時間17分5秒
山部,43.244645,142.381522,unknown,85.870,13.26539,13時間15分55秒
下金山,43.197328,142.415402,unknown,87.568,13.27713,13時間16分38秒
金山(北海道),43.136115,142.416201,unknown,86.824,13.27199,13時間16分19秒
東鹿越,43.164011,142.523472,unknown,95.775,13.33387,13時間20分2秒
幾寅,43.161582,142.569474,unknown,99.461,13.35937,13時間21分34秒
落合(北海道),43.125055,142.669104,unknown,107.224,13.41307,13時間24分47秒
新得,43.082501,142.832432,cool,120.353,13.50394,13時間30分14秒
十勝清水,43.012892,142.879535,cool,124.394,13.53191,13時間31分55秒
羽帯,42.957499,142.906646,unknown,127.102,13.55066,13時間33分2秒
御影(北海道),42.942418,142.935739,cool,129.642,13.56824,13時間34分6秒
芽室,42.909846,143.047991,cool,139.169,13.63419,13時間38分3秒
大成,42.918662,143.071241,cool,140.916,13.64628,13時間38分47秒
西帯広,42.923941,143.126351,cool,145.295,13.67659,13時間40分36秒
柏林台,42.928877,143.1645,cool,148.314,13.69749,13時間41分51秒
帯広,42.917997,143.20195,cool,151.485,13.71943,13時間43分10秒
札内,42.912697,143.256248,eco,155.946,13.75030,13時間45分1秒
稲士別,42.903963,143.297528,unknown,159.402,13.77421,13時間46分27秒
幕別,42.90784,143.359293,eco,164.341,13.80838,13時間48分30秒
利別,42.934706,143.424445,eco,169.284,13.84256,13時間50分33秒
池田(北海道),42.922186,143.453033,eco,171.744,13.85957,13時間51分34秒
十弗,42.855781,143.500797,eco,176.542,13.89273,13時間53分34秒
豊頃,42.817548,143.538615,eco,180.256,13.91840,13時間55分6秒
新吉野,42.778238,143.60826,eco,186.622,13.96237,13時間57分45秒
浦幌,42.810849,143.651568,eco,189.465,13.98200,13時間58分55秒
上厚内,42.831881,143.749788,unknown,197.012,14.03408,14時間2分3秒
厚内,42.809539,143.814389,eco,202.598,14.07261,14時間4分21秒
直別,42.852205,143.863607,unknown,205.886,14.09527,14時間5分43秒
尺別,42.869163,143.904331,unknown,208.940,14.11632,14時間6分59秒
音別,42.888997,143.932442,eco,210.960,14.13023,14時間7分49秒
古瀬,42.947893,144.008589,unknown,216.520,14.16851,14時間10分7秒
白糠,42.956161,144.076879,heat,221.993,14.20617,14時間12分22秒
西庶路,42.976138,144.129826,heat,226.142,14.23470,14時間14分5秒
庶路,42.983601,144.150018,heat,227.732,14.24562,14時間14分44秒
大楽毛,43.009078,144.273879,heat,237.645,14.31369,14時間18分49秒
新大楽毛,43.009423,144.295558,heat,239.405,14.32576,14時間19分33秒
新富士(北海道),43.001605,144.350758,heat,243.929,14.35678,14時間21分24秒
釧路,42.990584,144.381983,eco,246.527,14.37458,14時間22分28秒
東釧路,42.995207,144.411307,eco,248.882,14.39071,14時間23分27秒
武佐(北海道),42.991364,144.426681,heat,250.153,14.39941,14時間23分58秒
別保,42.994384,144.469596,heat,253.622,14.42315,14時間25分23秒
上尾幌,43.032893,144.61239,heat,265.038,14.50117,14時間30分4秒
尾幌,43.018463,144.703758,cool,272.520,14.55220,14時間33分8秒
門静,43.057581,144.782638,cool,278.786,14.59487,14時間35分42秒
厚岸,43.056248,144.841355,cool,283.559,14.62734,14時間37分38秒
糸魚沢,43.103506,144.92545,unknown,290.300,14.67313,14時間40分23秒
茶内,43.129266,145.02801,cool,298.614,14.72949,14時間43分46秒
浜中,43.15754,145.099657,cool,304.444,14.76895,14時間46分8秒
姉別,43.196201,145.194716,eco,312.221,14.82149,14時間49分17秒
厚床,43.228224,145.252096,eco,316.968,14.85350,14時間51分13秒
初田牛,43.204542,145.32277,unknown,322.619,14.89155,14時間53分30秒
別当賀,43.218427,145.423593,eco,330.826,14.94670,14時間56分48秒
落石,43.198335,145.519449,eco,338.544,14.99844,14時間59分54秒
昆布盛,43.228593,145.542444,eco,340.482,15.01141,15時間0分41秒
西和田,43.268043,145.541817,eco,340.579,15.01206,15時間0分43秒
花咲,43.295388,145.575045,unknown,343.401,15.03093,15時間1分51秒
東根室,43.323655,145.597234,unknown,345.359,15.04402,15時間2分38秒
根室,43.326923,145.582707,eco,344.206,15.03631,15時間2分11秒
植苗,42.713645,141.735344,eco,50.393,13.02060,13時間1分14秒
美々,42.777418,141.711387,unknown,43.711,12.97461,12時間58分29秒
新千歳空港,42.787546,141.680823,eco,41.217,12.95745,12時間57分27秒
南千歳,42.80804,141.675388,eco,39.215,12.94369,12時間56分37秒
千歳(北海道),42.82811,141.651934,eco,36.277,12.92349,12時間55分25秒
長都,42.852178,141.622987,eco,32.709,12.89898,12時間53分56秒
サッポロビール庭園,42.866812,141.605616,heat,30.553,12.88417,12時間53分3秒
恵庭,42.883076,141.586234,heat,28.153,12.86770,12時間52分4秒
恵み野,42.902704,141.574429,heat,25.910,12.85231,12時間51分8秒
島松,42.922504,141.573117,heat,24.310,12.84133,12時間50分29秒
北広島,42.979239,141.563115,heat,19.918,12.81123,12時間48分40秒
上野幌,43.016177,141.487317,cool,12.535,12.76067,12時間45分38秒
新札幌,43.038732,141.47237,cool,10.424,12.74622,12時間44分46秒
新さっぽろ,43.039141,141.473106,cool,10.466,12.74651,12時間44分47秒
平和,43.04695,141.437967,cool,7.483,12.72611,12時間43分34秒
東追分,42.902377,141.83228,unknown,43.310,12.97185,12時間58分19秒
川端,42.914721,141.894791,cool,47.441,13.00028,13時間0分1秒
滝ノ上,42.910244,141.97628,unknown,53.838,13.04433,13時間2分40秒
十三里,42.914667,142.024478,unknown,57.407,13.06892,13時間4分8秒
新夕張,42.936611,142.03657,cool,57.668,13.07072,13時間4分15秒
沼ノ沢,42.957586,142.030836,unknown,56.655,13.06374,13時間3分49秒
南清水沢,42.985272,142.006597,unknown,54.110,13.04620,13時間2分46秒
清水沢,42.99827,142.007285,unknown,53.931,13.04497,13時間2分42秒
鹿ノ谷,43.039447,141.964476,unknown,49.970,13.01769,13時間1分4秒
夕張,43.050926,141.967472,unknown,50.142,13.01887,13時間1分8秒
占冠,42.993088,142.400078,eco,85.702,13.26423,13時間15分51秒
トマム,43.055913,142.610937,eco,102.385,13.37959,13時間22分47秒
勇払,42.632805,141.727667,eco,57.379,13.06873,13時間4分7秒
浜厚真,42.606725,141.837071,eco,64.885,13.12049,13時間7分14秒
浜田浦,42.590722,141.88362,unknown,68.643,13.14642,13時間8分47秒
鵡川,42.578953,141.923892,eco,71.758,13.16791,13時間10分4秒
汐見,42.550235,141.945255,unknown,75.327,13.19256,13時間11分33秒
富川,42.516865,142.020855,unknown,82.179,13.23989,13時間14分24秒
日高門別,42.481237,142.072692,unknown,87.964,13.27987,13時間16分48秒
豊郷(北海道),42.470119,142.122493,unknown,91.635,13.30524,13時間18分19秒
清畠,42.455709,142.176624,unknown,95.864,13.33449,13時間20分4秒
厚賀,42.430507,142.215896,unknown,100.122,13.36394,13時間21分50秒
大狩部,42.395695,142.259355,unknown,105.383,13.40034,13時間24分1秒
節婦,42.38248,142.275541,unknown,107.363,13.41404,13時間24分51秒
新冠,42.360667,142.312585,unknown,111.226,13.44077,13時間26分27秒
静内,42.336559,142.360402,unknown,115.898,13.47310,13時間28分23秒
東静内,42.304416,142.450485,unknown,123.693,13.52706,13時間31分37秒
春立,42.268515,142.498943,unknown,129.333,13.56610,13時間33分58秒
日高東別,42.280837,142.521371,unknown,129.734,13.56888,13時間34分8秒
日高三石,42.247269,142.566859,unknown,135.017,13.60545,13時間36分20秒
蓬栄,42.264636,142.604517,unknown,136.013,13.61234,13時間36分44秒
本桐,42.248205,142.630455,unknown,138.822,13.63179,13時間37分54秒
荻伏,42.206136,142.689432,unknown,145.559,13.67842,13時間40分42秒
絵笛,42.198428,142.736134,unknown,149.015,13.70234,13時間42分8秒
浦河,42.168366,142.769976,unknown,153.313,13.73208,13時間43分56秒
東町,42.156037,142.788931,unknown,155.392,13.74647,13時間44分47秒
日高幌別,42.142338,142.834519,unknown,159.227,13.77300,13時間46分23秒
鵜苫,42.134449,142.882513,unknown,162.807,13.79777,13時間47分52秒
西様似,42.138411,142.908737,unknown,164.184,13.80729,13時間48分26秒
様似,42.127936,142.93596,unknown,166.657,13.82440,13時間49分28秒
八軒,43.085845,141.319145,cool,3.204,12.69688,12時間41分49秒
新川(北海道),43.098604,141.323824,cool,3.989,12.70224,12時間42分8秒
新琴似,43.112928,141.335105,cool,5.089,12.70975,12時間42分35秒
太平,43.12401,141.349526,cool,6.161,12.71708,12時間43分1秒
百合が原,43.131476,141.360672,cool,7.036,12.72306,12時間43分23秒
篠路,43.145152,141.364323,cool,8.582,12.73363,12時間44分1秒
拓北,43.155568,141.381013,eco,9.976,12.74316,12時間44分35秒
あいの里教育大,43.15528,141.39842,eco,10.384,12.74595,12時間44分45秒
あいの里公園,43.161206,141.413276,eco,11.478,12.75343,12時間45分12秒
ロイズタウン,43.179589,141.436236,eco,14.156,12.77176,12時間46分18秒
太美,43.189801,141.449066,eco,15.660,12.78206,12時間46分55秒
当別,43.22208,141.513764,eco,21.589,12.82268,12時間49分22秒
北海道医療大学,43.230925,141.54995,eco,24.225,12.84075,12時間50分27秒
石狩金沢,43.245385,141.569239,unknown,26.465,12.85612,12時間51分22秒
本中小屋,43.28019,141.591661,unknown,30.579,12.88435,12時間53分4秒
中小屋,43.306846,141.602341,unknown,33.433,12.90395,12時間54分14秒
月ヶ岡,43.324867,141.61807,unknown,35.797,12.92019,12時間55分13秒
知来乙,43.331545,141.649123,unknown,37.943,12.93494,12時間56分6秒
石狩月形,43.340869,141.670193,unknown,39.834,12.94794,12時間56分53秒
豊ヶ岡,43.366645,141.714026,unknown,44.325,12.97883,12時間58分44秒
札比内,43.370926,141.742762,unknown,46.249,12.99207,12時間59分31秒
晩生内,43.399921,141.779211,unknown,50.615,13.02213,13時間1分20秒
札的,43.419153,141.803549,unknown,53.520,13.04214,13時間2分32秒
浦臼,43.430964,141.817376,unknown,55.241,13.05400,13時間3分14秒
鶴沼,43.457673,141.840637,unknown,58.694,13.07779,13時間4分40秒
於札内,43.473424,141.840102,unknown,59.964,13.08655,13時間5分12秒
南下徳富,43.485542,141.844454,unknown,61.209,13.09513,13時間5分42秒
下徳富,43.50271,141.855574,unknown,63.242,13.10915,13時間6分33秒
新十津川,43.545575,141.874172,unknown,67.870,13.14108,13時間8分28秒
北一已,43.742021,142.014721,heat,92.107,13.30851,13時間18分31秒
秩父別,43.769099,141.967757,heat,92.466,13.31099,13時間18分40秒
北秩父別,43.789375,141.960915,heat,94.078,13.32214,13時間19分20秒
石狩沼田,43.810032,141.934266,heat,94.953,13.32819,13時間19分41秒
真布,43.832965,141.906756,unknown,96.114,13.33622,13時間20分10秒
恵比島,43.851296,141.88144,unknown,96.999,13.34234,13時間20分32秒
峠下,43.850789,141.818879,unknown,94.826,13.32731,13時間19分38秒
幌糠,43.855521,141.758418,unknown,93.481,13.31801,13時間19分5秒
藤山,43.88708,141.720588,unknown,95.776,13.33388,13時間20分2秒
大和田(北海道),43.913418,141.696528,unknown,97.991,13.34920,13時間20分57秒
留萌,43.942848,141.651433,unknown,100.189,13.36440,13時間21分52秒
瀬越,43.934987,141.634535,unknown,99.018,13.35630,13時間21分23秒
礼受,43.904871,141.611358,unknown,95.335,13.33083,13時間19分51秒
阿分,43.894339,141.605598,unknown,94.090,13.32222,13時間19分20秒
信砂,43.874479,141.589039,unknown,91.648,13.30533,13時間18分19秒
舎熊,43.869113,141.580068,unknown,90.915,13.30027,13時間18分1秒
朱文別,43.860678,141.564328,unknown,89.744,13.29217,13時間17分32秒
箸別,43.859125,141.55164,unknown,89.383,13.28967,13時間17分23秒
増毛,43.856522,141.527559,unknown,88.766,13.28541,13時間17分7秒
神楽岡,43.745033,142.358257,heat,110.819,13.43795,13時間26分17秒
緑が丘(北海道),43.731074,142.365701,heat,110.225,13.43384,13時間26分2秒
西御料,43.720834,142.371507,heat,109.824,13.43107,13時間25分52秒
西瑞穂,43.70242,142.381982,heat,109.137,13.42631,13時間25分35秒
西神楽,43.682181,142.393677,heat,108.442,13.42150,13時間25分17秒
西聖和,43.669047,142.415209,heat,108.906,13.42471,13時間25分29秒
千代ヶ岡,43.643737,142.451024,heat,109.556,13.42921,13時間25分45秒
北美瑛,43.617884,142.479594,heat,109.831,13.43111,13時間25分52秒
美瑛,43.591186,142.461639,heat,107.003,13.41154,13時間24分42秒
美馬牛,43.537408,142.447192,eco,102.902,13.38317,13時間22分59秒
上富良野,43.464046,142.468761,eco,100.636,13.36749,13時間22分3秒
西中,43.429569,142.441876,eco,97.058,13.34275,13時間20分34秒
ラベンダー畑,43.416919,142.430681,eco,95.663,13.33310,13時間19分59秒
中富良野,43.405704,142.420812,cool,94.438,13.32463,13時間19分29秒
鹿討,43.387499,142.404812,cool,92.467,13.31100,13時間18分40秒
学田,43.366234,142.386118,cool,90.189,13.29525,13時間17分43秒
旭川四条,43.764056,142.375815,heat,113.288,13.45504,13時間27分18秒
新旭川,43.780174,142.384789,heat,115.036,13.46714,13時間28分2秒
永山,43.814158,142.434382,heat,120.524,13.50512,13時間30分18秒
北永山,43.826736,142.454493,heat,122.658,13.51989,13時間31分12秒
南比布,43.853342,142.467271,unknown,125.434,13.53911,13時間32分21秒
比布,43.874478,142.471294,heat,127.299,13.55202,13時間33分7秒
北比布,43.901728,142.476545,unknown,129.732,13.56886,13時間34分8秒
蘭留,43.925072,142.473699,heat,131.428,13.58060,13時間34分50秒
塩狩,43.96794,142.4552,heat,133.903,13.59774,13時間35分52秒
和寒,44.026932,142.415309,heat,136.804,13.61782,13時間37分4秒
東六線,44.068723,142.388073,unknown,139.106,13.63376,13時間38分2秒
剣淵,44.09643,142.364754,heat,140.470,13.64320,13時間38分36秒
北剣淵,44.139423,142.377955,unknown,144.973,13.67437,13時間40分28秒
士別,44.172536,142.388247,cool,148.463,13.69852,13時間41分55秒
下士別,44.210583,142.396405,unknown,152.327,13.72526,13時間43分31秒
多寄,44.241296,142.396315,cool,155.169,13.74493,13時間44分42秒
瑞穂,44.266349,142.396244,cool,157.505,13.76109,13時間45分40秒
風連,44.292238,142.421624,cool,161.019,13.78540,13時間47分7秒
名寄高校,44.331382,142.465484,cool,166.568,13.82378,13時間49分26秒
名寄,44.349403,142.465207,cool,168.242,13.83536,13時間50分7秒
日進(北海道),44.381713,142.467354,cool,171.371,13.85699,13時間51分25秒
北星,44.441569,142.428116,unknown,175.478,13.88538,13時間53分7秒
智恵文,44.455553,142.414772,cool,176.306,13.89110,13時間53分28秒
智北,44.46103,142.394007,cool,176.038,13.88925,13時間53分21秒
南美深,44.462604,142.367822,unknown,175.201,13.88347,13時間53分0秒
美深,44.482951,142.350597,cool,176.567,13.89291,13時間53分34秒
初野,44.512808,142.336129,unknown,179.005,13.90976,13時間54分35秒
紋穂内,44.538761,142.33357,unknown,181.501,13.92700,13時間55分37秒
恩根内,44.598486,142.309447,unknown,186.683,13.96279,13時間57分46秒
豊清水,44.639503,142.270342,unknown,189.597,13.98291,13時間58分58秒
天塩川温泉,44.665041,142.258682,cool,191.853,13.99849,13時間59分55秒
咲来,44.692702,142.267569,cool,194.963,14.01995,14時間1分12秒
音威子府,44.729448,142.259883,cool,198.519,14.04448,14時間2分40秒
筬島,44.738883,142.197777,cool,197.731,14.03904,14時間2分21秒
佐久,44.743986,142.048562,cool,194.498,14.01674,14時間1分0秒
天塩中川,44.81186,142.075335,cool,202.333,14.07078,14時間4分15秒
歌内,44.880493,142.052162,unknown,209.141,14.11770,14時間7分4秒
問寒別,44.91233,142.025562,cool,211.998,14.13738,14時間8分15秒
糠南,44.920778,142.000931,cool,212.415,14.14025,14時間8分25秒
雄信内,44.911735,141.935888,unknown,210.222,14.12515,14時間7分31秒
安牛,44.949809,141.894187,unknown,213.645,14.14872,14時間8分55秒
南幌延,44.965084,141.884892,unknown,215.158,14.15914,14時間9分33秒
上幌延,44.985787,141.880905,unknown,217.351,14.17423,14時間10分27秒
幌延,45.014503,141.84569,eco,219.959,14.19218,14時間11分32秒
下沼,45.037146,141.758218,eco,221.299,14.20140,14時間12分5秒
豊富,45.104624,141.772088,eco,228.880,14.25351,14時間15分13秒
徳満,45.145838,141.751039,unknown,233.177,14.28302,14時間16分59秒
兜沼,45.220236,141.6972,eco,240.841,14.33561,14時間20分8秒
勇知,45.259339,141.685151,eco,245.053,14.36448,14時間21分52秒
抜海,45.316866,141.644576,unknown,251.089,14.40582,14時間24分21秒
南稚内,45.398166,141.683026,eco,260.383,14.46938,14時間28分10秒
稚内,45.416995,141.676999,eco,262.418,14.48328,14時間29分0秒
南永山,43.78055,142.40853,heat,116.463,13.47701,13時間28分37秒
東旭川,43.776571,142.441544,heat,118.139,13.48861,13時間29分19秒
