name,name_kana,lat,lng,radius,pt
上野,うえの,35.71379,139.777043,0,1
上野動物園,うえのどうぶつえん,35.7160153,139.772882,200,1
蛇窪神社,へびくぼじんじゃ,35.6025981,139.7151937,200,1
中延,なかのぶ,35.60571,139.712526,0,1
虎ノ門ヒルズ,とらのもんひるず,35.667409,139.747758,0,1
渋谷,しぶや,35.658871,139.701238,0,1
牛田,うしだ,35.744555,139.811816,0,1
片瀬江ノ島,かたせえのしま,35.309345,139.482934,0,1
新江ノ島水族館,しんえのしますいぞくかん,35.3100048,139.479428,200,1
京都,きょうと,34.985465,135.757748,0,1
京都水族館,きょうとすいぞくかん,34.987516,135.7472123,200,1
花園,はなぞの,35.018743,135.717895,0,1
花園教会水族館,はなぞのきょうかいすいぞくかん,35.0156766,135.7196835,200,1
鹿王院,ろくおういん,35.01704,135.685236,0,1
三ノ宮,さんのみや,34.694766,135.195058,0,1
AQUARIUM × ART átoa,あくありうむあーとあとあ,34.6832222,135.1936194,200,1
鶴橋,つるはし,34.665264,135.530133,0,1
動物園前,どうぶつえんまえ,34.648815,135.504413,0,1
天王寺動物園,てんのうじどうぶつえん,34.6510957,135.5084344,200,1
海ノ中道,うみのなかみち,33.664241,130.361633,0,1
マリンワールド海の中道,まりんわーるど海の中道,33.660851,130.363413,200,1
博多,はかた,33.590002,130.420622,0,1
熊本,くまもと,32.78988,130.68899,0,1
熊本市動植物園,くまもとしどうしょくぶつえん,32.7745613,130.7476687,200,1
動植物園入口,どうしょくぶつえんいりぐち,32.78051,130.754707,200,1
福岡市動植物園,ふくおかけんどうしょくぶつえん,33.5728036,130.3910108,200,1
