name,name_kana,lat,lng,radius,pt,coordinates
東京,とうきょう,35.681391,139.766103,0,1,"[[139.766725, 35.677891], [139.769904, 35.680711], [139.769608, 35.683913], [139.763811, 35.684021], [139.76422, 35.678699], [139.766421, 35.67785], [139.766725, 35.677891]]"
品川,しながわ,35.62876,139.738999,0,1,"[[139.733042, 35.625425], [139.744812, 35.625783], [139.747046, 35.630241], [139.73566, 35.633222], [139.733042, 35.625425]]"
小田原,おだわら,35.256225,139.155772,0,1,"[[139.202833, 35.215034], [139.151238, 35.263276], [139.149383, 35.263513], [139.138184, 35.262575], [139.13824, 35.262426], [139.159896, 35.241657], [139.202833, 35.215034]]"
熱海,あたみ,35.103573,139.077679,0,1,"[[139.053815, 35.145601], [139.080292, 35.079523], [139.099703, 35.074761], [139.155868, 35.078098], [139.136008, 35.098407], [139.053815, 35.145601]]"
新横浜,しんよこはま,35.506824,139.617348,0,1,"[[139.607983, 35.501673], [139.60887, 35.510786], [139.622078, 35.515593], [139.625085, 35.502435], [139.624478, 35.50124], [139.607983, 35.501673]]"
名古屋,なごや,35.170694,136.881637,0,1,"[[136.885066, 35.173783], [136.884327, 35.177775], [136.876328, 35.172061], [136.878345, 35.166492], [136.879908, 35.166183], [136.880203, 35.166189], [136.883645, 35.171269], [136.885066, 35.173783]]"
多治見,たじみ,35.334774,137.120294,0,1,"[[137.098908, 35.325982], [137.137881, 35.380216], [137.179468, 35.277161], [137.098908, 35.325982]]"
土岐市,ときし,35.359708,137.182082,0,1,"[[137.137726, 35.381408], [137.137881, 35.380216], [137.179468, 35.277161], [137.19178, 35.259573], [137.221934, 35.240575], [137.233667, 35.24041], [137.207484, 35.435763], [137.137726, 35.381408]]"
瑞浪,みずなみ,35.369081,137.252017,0,1,"[[137.318681, 35.339437], [137.220732, 35.462959], [137.207484, 35.435763], [137.233667, 35.24041], [137.269541, 35.229744], [137.313495, 35.324301], [137.318681, 35.339437]]"
恵那,えな,35.455063,137.407764,0,1,"[[137.347939, 35.609846], [137.335756, 35.587992], [137.393097, 35.408539], [137.396097, 35.409531], [137.402276, 35.412237], [137.426796, 35.471164], [137.347939, 35.609846]]"
