name,name_kana,lat,lng,radius,pt,coordinates
新宿三丁目,しんじゅくさんちょうめ,35.690847,139.704895,0,1,"[[139.702152, 35.692377], [139.70279, 35.693861], [139.704545, 35.695449], [139.709395, 35.693827], [139.706309, 35.685913], [139.703526, 35.686933], [139.702152, 35.692377]]"
新宿御苑前,しんじゅくぎょえんまえ,35.688588,139.71069,0,1,"[[139.713007, 35.694911], [139.709395, 35.693827], [139.706309, 35.685913], [139.707273, 35.684405], [139.715206, 35.685433], [139.715713, 35.693003], [139.713007, 35.694911]]"
三ノ宮,さんのみや,34.694766,135.195058,0,1,"[[135.201975, 34.695882], [135.20143, 34.697366], [135.199037, 34.700373], [135.186612, 34.70112], [135.188078, 34.696857], [135.189169, 34.695239], [135.190484, 34.693967], [135.200047, 34.694315], [135.201975, 34.695882]]"
三宮(神戸三宮),さんのみや(こうべさんのみや),34.693502,135.195104,0,1,"[[135.200047, 34.694315], [135.190484, 34.693967], [135.192159, 34.691832], [135.199233, 34.693461], [135.200047, 34.694315]]"
三宮・花時計前,さんのみや・はなどけいまえ,34.691618,135.195538,0,1,"[[135.192159, 34.691832], [135.194641, 34.68554], [135.199233, 34.693461], [135.192159, 34.691832]]"
旧居留地・大丸前,きゅうきょりゅうち・だいまるまえ,34.689369,135.189836,0,1,"[[135.192159, 34.691832], [135.190484, 34.693967], [135.189169, 34.695239], [135.188228, 34.685402], [135.191987, 34.679094], [135.194634, 34.683255], [135.194641, 34.68554], [135.192159, 34.691832]]"
博多,はかた,33.590002,130.420622,0,1,"[[130.415351, 33.580138], [130.414163, 33.583245], [130.415212, 33.588557], [130.422064, 33.598543], [130.422128, 33.598576], [130.425984, 33.597889], [130.425907, 33.579233], [130.422315, 33.577379], [130.416911, 33.578768], [130.415351, 33.580138]]"
新宿マルイアネックス,しんじゅくまるいあねっくす<br>(2025/8/8 11:00-8/24 19:00),35.6901053,139.7058564,200,1,
神戸マルイ,こうべまるい<br>(2025/8/30 11:00-9/15 19:00),34.6925315,135.1941319,1,1,
博多マルイ,はかたまるい<br>(2025/9/20 10:00-9/28 21:00),33.5888851,130.41945221,1,1,
