name,name_kana,lat,lng,radius,pt,coordinates
観月橋,かんげつきょう,34.928103,135.768642,0,1,"[[135.765318, 34.921211], [135.764297, 34.928252], [135.766586, 34.930428], [135.768436, 34.931523], [135.776888, 34.925886], [135.777615, 34.92218], [135.765318, 34.921211]]"
星ヶ丘(大阪),ほしがおか,34.807696,135.659755,0,1,"[[135.680078, 34.81853], [135.647864, 34.794012], [135.647097, 34.796297], [135.648684, 34.804703], [135.64996, 34.806351], [135.67955, 34.821884], [135.680078, 34.81853]]"
月寒中央,つきさむちゅうおう,43.030553,141.396263,0,1,"[[141.402164, 43.038322], [141.406487, 43.031299], [141.385784, 43.01544], [141.384786, 43.022142], [141.393688, 43.038311], [141.402164, 43.038322]]"
月崎,つきざき,35.302203,140.139394,0,1,"[[140.178611, 35.305249], [140.105695, 35.317053], [140.109286, 35.281215], [140.178611, 35.305249]]"
中央大学・明星大学,ちゅうおうだいがく・めいせいだいがく,35.64197,139.408672,0,1,"[[139.411431, 35.648262], [139.393687, 35.638355], [139.407548, 35.631748], [139.41771, 35.647292], [139.411431, 35.648262]]"
上大月,かみおおつき,35.609341,138.938128,0,1,"[[138.955441, 35.592445], [138.907948, 35.612946], [138.892657, 35.667916], [138.9553, 35.593651], [138.955441, 35.592445]]"
月江寺,げっこうじ,35.493313,138.798105,0,1,"[[138.785529, 35.507971], [138.790375, 35.490038], [138.809385, 35.485334], [138.786395, 35.513121], [138.785529, 35.507971]]"
早月加積,はやつきかづみ,36.784082,137.372079,0,1,"[[137.386675, 36.748793], [137.315562, 36.86284], [137.323313, 36.85675], [137.336886, 36.844412], [137.404459, 36.741088], [137.386675, 36.748793]]"
宇奈月温泉,うなづきおんせん,36.815694,137.583541,0,1,"[[137.492657, 36.753325], [137.495339, 36.710808], [137.521611, 36.695176], [137.540473, 36.710897], [137.564976, 36.745638], [137.594427, 36.849751], [137.492657, 36.753325]]"
宇奈月,うなづき,36.815038,137.58586,0,1,"[[137.564976, 36.745638], [137.594427, 36.849751], [137.616413, 36.872036], [137.638878, 36.889646], [137.663233, 36.880147], [137.564976, 36.745638]]"
月岡(富山),つきおか,36.626475,137.263341,0,1,"[[137.276189, 36.662273], [137.284208, 36.651806], [137.284959, 36.650522], [137.248343, 36.585466], [137.236025, 36.595402], [137.267947, 36.662601], [137.276189, 36.662273]]"
尾張星の宮,おわりほしのみや,35.212988,136.855011,0,1,"[[136.854802, 35.204117], [136.85287, 35.204455], [136.850225, 35.206078], [136.845125, 35.214171], [136.844687, 35.21906], [136.853567, 35.233707], [136.860199, 35.230307], [136.865475, 35.219282], [136.866034, 35.211947], [136.863361, 35.208188], [136.854802, 35.204117]]"
星ヶ丘(愛知),ほしがおか,35.162399,136.985095,0,1,"[[136.977471, 35.170932], [136.98121, 35.147442], [136.988234, 35.145668], [136.997763, 35.146455], [137.000239, 35.147248], [136.98308, 35.179117], [136.977471, 35.170932]]"
星川(三重),ほしかわ,35.064398,136.630113,0,1,"[[136.631858, 35.04397], [136.618353, 35.048363], [136.617442, 35.049058], [136.631031, 35.09269], [136.634786, 35.091441], [136.64266, 35.083586], [136.631858, 35.04397]]"
月見山,つきみやま,34.649992,135.121949,0,1,"[[135.125957, 34.651357], [135.121715, 34.644212], [135.110721, 34.660102], [135.115712, 34.662468], [135.125957, 34.651357]]"
筑豊香月,ちくほうかつき,33.799502,130.719099,0,1,"[[130.720622, 33.808487], [130.709214, 33.799056], [130.710036, 33.79008], [130.711916, 33.789141], [130.741789, 33.804959], [130.730929, 33.808601], [130.725418, 33.809197], [130.720622, 33.808487]]"
黒部宇奈月温泉,くろべうなづきおんせん,36.874106,137.481113,0,1,"[[137.475752, 36.878852], [137.474713, 36.903871], [137.486786, 36.908572], [137.495388, 36.906282], [137.491402, 36.890009], [137.482766, 36.871334], [137.475752, 36.878852]]"
羽月,はつき,32.032028,130.596583,0,1,"[[130.507935, 32.030251], [130.47818, 32.064769], [130.485679, 32.096049], [130.486273, 32.096605], [130.638112, 32.031319], [130.570807, 32.011299], [130.507935, 32.030251]]"
岩月,いわつき,38.862278,141.584076,0,1,"[[141.683056, 38.876166], [141.711101, 38.862807], [141.754328, 38.823526], [141.632287, 38.842191], [141.560816, 38.864714], [141.562983, 38.86629], [141.683056, 38.876166]]"
