name,name_kana,lat,lng,radius,pt,coordinates
仙台(JR),せんだい,38.260027,140.882158,0,1,"[[140.880867, 38.26307], [140.881781, 38.267681], [140.882473, 38.26919], [140.888827, 38.267471], [140.888821, 38.267419], [140.882171, 38.255862], [140.881268, 38.255989], [140.880867, 38.26307]]"
松島海岸,まつしまかいがん,38.368529,141.058523,0,1,"[[141.100735, 38.328481], [141.103394, 38.310599], [141.100334, 38.312513], [141.013919, 38.393694], [141.042271, 38.387327], [141.075799, 38.365318], [141.091325, 38.349011], [141.09718, 38.338219], [141.100735, 38.328481]]"
会津若松,あいづわかまつ,37.508824,139.930159,0,1,"[[140.016835, 37.461241], [140.019482, 37.453789], [140.018156, 37.453764], [139.957078, 37.472938], [139.936599, 37.487304], [139.909496, 37.527176], [139.916998, 37.530192], [139.967008, 37.526252], [140.016835, 37.461241]]"
滝(栃木),たき,36.648558,140.138152,0,1,"[[140.141173, 36.591216], [140.120575, 36.67263], [140.135069, 36.752445], [140.153069, 36.591909], [140.141173, 36.591216]]"
烏山,からすやま,36.650455,140.15507,0,1,"[[140.161104, 36.826158], [140.17877, 36.831401], [140.264912, 36.691092], [140.269812, 36.675164], [140.272678, 36.639275], [140.263687, 36.611654], [140.167984, 36.5906], [140.153069, 36.591909], [140.135069, 36.752445], [140.141366, 36.816737], [140.161104, 36.826158]]"
広島,ひろしま,34.397446,132.475593,0,1,"[[132.485284, 34.414921], [132.486714, 34.397996], [132.477559, 34.39653], [132.470376, 34.397717], [132.47028, 34.397889], [132.470662, 34.399501], [132.473755, 34.405559], [132.478083, 34.411762], [132.48278, 34.414387], [132.485284, 34.414921]]"
宮島口,みやじまぐち,34.312081,132.302689,0,1,"[[132.248136, 34.364546], [132.300816, 34.30124], [132.304008, 34.313095], [132.257895, 34.358677], [132.248136, 34.364546]]"
宮津,みやづ,35.53441,135.199875,0,1,"[[135.181612, 35.538933], [135.211692, 35.561403], [135.225769, 35.508067], [135.181612, 35.538933]]"
宮城県松島離宮,みやぎけんまつしまりきゅう,38.3675442,141.0598863,1,1,
雄島,おしま,38.3652043,141.0625821,1,1,
臼福本店・松島さかな市場,うすふくほんてん・まつしまさかないちば,38.3719493,141.0651699,1,1,
蚕養国神社,こがいくにじんじゃ,37.5046609,139.9391887,1,1,
国重文 会津さざえ堂,くにじゅうぶん あいづさざえどう,37.5044973,139.9539696,1,1,
羽黒山湯上神社 大鳥居,はぐろさんゆがみじんじゃ おおとりい,37.4793659,139.9615261,1,1,
島崎酒造,しまざきしゅぞう,36.6557618,140.1536827,200,1,
烏山城 三の丸跡,からすやまじょう さんのまるあと,36.6621739,140.1507574,200,1,
龍門の滝,りゅうもんのたき,36.6455986,140.1398144,200,1,
島崎酒造 どうくつ酒蔵,しまざきしゅぞう どうくつさかぐら,36.6571727,140.1383467,200,1,
はしだて茶屋,はしだてちゃや,35.5594592,135.1868907,200,1,
天橋立観光船乗り場 一の宮駅,あまのはしだてかんこうせんのりば いちのみやえき,35.580894,135.196019,200,1,
元伊勢籠神社,もといせこのじんじゃ,35.5826637,135.1966718,200,1,
揚げもみじの紅葉堂 本店,あげもみじのもみじどう ほんてん,34.2977872,132.320873,1,1,
嚴島神社,いつくしまじんじゃ,34.2959896,132.3198285,1,1,
大本山 大聖院,だいほんざん だいしょういん,34.2920462,132.3184934,1,1,
