name,name_kana,lat,lng,radius,pt,coordinates
燕三条,つばめさんじょう,37.648824,138.939274,0,1,"[[138.927706, 37.620075], [138.903796, 37.618495], [138.905634, 37.641919], [138.982253, 37.686184], [138.981627, 37.681223], [138.973712, 37.667822], [138.927706, 37.620075]]"
燕,つばめ,37.667613,138.928419,0,1,"[[138.965526, 37.736875], [138.956498, 37.732934], [138.903661, 37.649878], [138.905634, 37.641919], [138.982253, 37.686184], [138.98927, 37.707564], [138.983036, 37.739284], [138.965526, 37.736875]]"
西燕,にしつばめ,37.679819,138.909232,0,1,"[[138.903661, 37.649878], [138.892183, 37.665762], [138.890994, 37.671574], [138.895507, 37.690668], [138.916295, 37.715951], [138.931133, 37.72643], [138.956498, 37.732934], [138.903661, 37.649878]]"
吉田(新潟),よしだ,37.687111,138.878377,0,1,"[[138.890994, 37.671574], [138.864451, 37.68456], [138.866255, 37.698178], [138.895507, 37.690668], [138.890994, 37.671574]]"
南吉田,みなみよしだ,37.671999,138.870984,0,1,"[[138.841371, 37.660657], [138.843578, 37.659016], [138.892183, 37.665762], [138.890994, 37.671574], [138.864451, 37.68456], [138.841371, 37.660657]]"
粟生津,あおうづ,37.653988,138.873484,0,1,"[[138.897079, 37.610832], [138.884617, 37.602372], [138.843578, 37.659016], [138.892183, 37.665762], [138.903661, 37.649878], [138.905634, 37.641919], [138.903796, 37.618495], [138.897079, 37.610832]]"
燕三条地場産業振興センター,いずみさんじょうじばさんぎょうしんこうせんたー,37.6496707,138.933695,1,1,
燕市長善館史料館,つばめしちょうぜんかんしりょうかん,37.6518712,138.8692627,1,1,
