area,station,station_kana,denco,lat,lng,radius,count
4,和田山,わだやま,ひょうこ,35.34141,134.85137,0,1
4,苔縄,こけなわ,やちよ,34.896828,134.354083,0,1
5,江波(広島),えば,シャルロッテ,34.372496,132.436044,0,1
5,美談,みだみ,みこと くに,35.412572,132.798006,0,2
5,岩国,いわくに,みづほ,34.171828,132.225631,0,1
5,妹尾,せのお,まりか,34.608269,133.871246,0,1
5,根雨,ねう,つむぎ,35.241483,133.442036,0,1
5,観音町(広島),かんおんまち,ひめ,34.395534,132.438405,0,1
5,出雲市,いずもし,すばる,35.360694,132.756518,0,1
5,安来,やすぎ,あまね,35.427995,133.259279,0,1
5,恋山形,こいやまがた,ちづ,35.255641,134.279083,0,1
5,竹原,たけはら,せとら,34.33945,132.909705,0,1
5,山口(山口),やまぐち,ゆづる,34.172737,131.480985,0,1
6,新居浜,にいはま,いずな ありす,33.948124,133.294761,0,2
6,坂出,さかいで,アサ,34.313189,133.856819,0,1
6,窪川,くぼかわ,まぜ,33.212656,133.137285,0,1
6,海部,かいふ,なる,33.593453,134.351999,0,1
6,下灘,しもなだ,いよ,33.655109,132.589219,0,1
6,徳島,とくしま,ると,34.074572,134.551391,0,1
7,花畑,はなばたけ,もえ,33.306643,130.515972,0,1
7,首里,しゅり,いちほ,26.219191,127.725492,0,1
7,ハウステンボス,はうすてんぼす,ベアトリス,33.091923,129.796458,0,1
7,南郷,なんごう,にちな,31.535927,131.372157,0,1
7,黒崎,くろさき,あたる,33.866807,130.766206,0,1
7,湯前,ゆのまえ,ひびき,32.281389,130.980094,0,1
7,蛍茶屋,ほたるぢゃや,みなも,32.751135,129.894254,0,1
7,博多,はかた,みつる,33.590002,130.420622,0,1
7,中津(大分),なかつ,コヨイ,33.599202,131.190769,0,1
7,唐津,からつ,シズ,33.446038,129.96835,0,1
7,郡元(鹿児島市交通局),こおりもと,ゆう,31.562466,130.549024,0,1
7,美々津,みみつ,あさひ,32.325892,131.602279,0,1
7,指宿,いぶすき,おとめ,31.236925,130.642637,0,1
7,阿蘇白川,あそしらかわ,あそ,32.822368,131.084345,0,1
7,諫早,いさはや,ちどり,32.851018,130.041596,0,1
7,小倉(福岡),こくら,おとは,33.886756,130.882678,0,1
